,age,checking_status=0<=X<200,checking_status=<0,checking_status=>=200,checking_status=no checking,credit_amount,credit_history=all paid,credit_history=critical/other existing credit,credit_history=delayed previously,credit_history=existing paid,credit_history=no credits/all paid,duration,employment=1<=X<4,employment=4<=X<7,employment=<1,employment=>=7,employment=unemployed,existing_credits,foreign_worker=no,foreign_worker=yes,housing=for free,housing=own,housing=rent,installment_commitment,job=high qualif/self emp/mgmt,job=skilled,job=unemp/unskilled non res,job=unskilled resident,num_dependents,other_parties=co applicant,other_parties=guarantor,other_parties=none,other_payment_plans=bank,other_payment_plans=none,other_payment_plans=stores,own_telephone=none,own_telephone=yes,personal_status=female div/dep/mar,personal_status=male div/sep,personal_status=male mar/wid,personal_status=male single,property_magnitude=car,property_magnitude=life insurance,property_magnitude=no known property,property_magnitude=real estate,purpose=business,purpose=domestic appliance,purpose=education,purpose=furniture/equipment,purpose=new car,purpose=other,purpose=radio/tv,purpose=repairs,purpose=retraining,purpose=used car,residence_since,savings_status=100<=X<500,savings_status=500<=X<1000,savings_status=<100,savings_status=>=1000,savings_status=no known savings,class
12,22,1,0,0,0,1567,0,0,0,1,0,12,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,good
13,60,0,1,0,0,1199,0,1,0,0,0,24,0,0,0,1,0,2,0,1,0,1,0,4,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,bad
14,28,0,1,0,0,1403,0,0,0,1,0,15,1,0,0,0,0,1,0,1,0,0,1,2,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,good
15,32,0,1,0,0,1282,0,0,0,1,0,24,1,0,0,0,0,1,0,1,0,1,0,4,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,bad
16,53,0,0,0,1,2424,0,1,0,0,0,24,0,0,0,1,0,2,0,1,0,1,0,4,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,good
17,25,0,1,0,0,8072,0,0,0,0,1,30,0,0,1,0,0,3,0,1,0,1,0,2,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,good
18,44,1,0,0,0,12579,0,0,0,1,0,24,0,0,0,1,0,1,0,1,1,0,0,4,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,bad
19,31,0,0,0,1,3430,0,0,0,1,0,24,0,0,0,1,0,1,0,1,0,1,0,3,0,1,0,0,2,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,good
20,48,0,0,0,1,2134,0,1,0,0,0,9,1,0,0,0,0,3,0,1,0,1,0,4,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,good
21,44,0,1,0,0,2647,0,0,0,1,0,6,1,0,0,0,0,1,0,1,0,0,1,2,0,1,0,0,2,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,good
22,48,0,1,0,0,2241,0,1,0,0,0,10,0,0,1,0,0,2,1,0,0,0,1,1,0,0,0,1,2,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,good
23,44,1,0,0,0,1804,0,1,0,0,0,12,0,0,1,0,0,1,0,1,0,1,0,3,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,good
24,26,0,0,0,1,2069,0,1,0,0,0,10,1,0,0,0,0,2,1,0,0,1,0,2,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,good
25,36,0,1,0,0,1374,0,0,0,1,0,6,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,good
26,39,0,0,0,1,426,0,0,0,0,1,6,0,0,0,1,0,1,0,1,0,1,0,4,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,good
27,42,0,0,1,0,409,1,0,0,0,0,12,1,0,0,0,0,2,0,1,0,0,1,3,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,good
28,34,1,0,0,0,2415,0,0,0,1,0,7,1,0,0,0,0,1,0,1,0,1,0,3,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,good
29,63,0,1,0,0,6836,0,0,1,0,0,60,0,0,0,1,0,2,0,1,0,1,0,3,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,bad
30,36,1,0,0,0,1913,0,0,0,1,0,18,0,0,1,0,0,1,0,1,0,1,0,3,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,good
31,27,0,1,0,0,4020,0,0,0,1,0,24,1,0,0,0,0,1,0,1,0,1,0,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,good
32,30,1,0,0,0,5866,0,0,0,1,0,18,1,0,0,0,0,2,0,1,0,1,0,2,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,good
33,57,0,0,0,1,1264,0,1,0,0,0,12,0,0,0,1,0,1,0,1,0,0,1,4,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,good
34,33,0,0,1,0,1474,0,0,0,1,0,12,0,0,1,0,0,1,0,1,0,1,0,4,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,good
35,25,1,0,0,0,4746,0,1,0,0,0,45,0,0,1,0,0,2,0,1,0,1,0,4,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,bad
36,31,0,0,0,1,6110,0,1,0,0,0,48,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,good
37,37,0,0,1,0,2100,0,0,0,1,0,18,1,0,0,0,0,1,0,1,0,1,0,4,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,bad
38,37,0,0,1,0,1225,0,0,0,1,0,10,1,0,0,0,0,1,0,1,0,1,0,2,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,good
39,24,1,0,0,0,458,0,0,0,1,0,9,1,0,0,0,0,1,0,1,0,1,0,4,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,good
40,30,0,0,0,1,2333,0,0,0,1,0,30,0,0,0,1,0,1,0,1,0,1,0,4,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,good
41,26,1,0,0,0,1158,0,0,0,1,0,12,1,0,0,0,0,1,0,1,0,1,0,3,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,good
42,44,1,0,0,0,6204,0,0,1,0,0,18,1,0,0,0,0,1,0,1,0,1,0,2,0,0,0,1,2,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,good
43,24,0,1,0,0,6187,0,1,0,0,0,30,0,1,0,0,0,2,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,good
44,58,0,1,0,0,6143,0,1,0,0,0,48,0,0,0,1,0,2,0,1,1,0,0,4,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,bad
45,35,0,0,0,1,1393,0,1,0,0,0,11,0,0,1,0,0,2,0,1,0,1,0,4,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,good
46,39,0,0,0,1,2299,0,0,0,1,0,36,0,0,0,1,0,1,0,1,0,1,0,4,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,good
47,23,0,1,0,0,1352,0,0,0,1,0,6,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,good
48,39,0,0,0,1,7228,0,1,0,0,0,11,1,0,0,0,0,2,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,good
49,28,0,0,0,1,2073,0,0,0,1,0,12,1,0,0,0,0,1,0,1,0,1,0,4,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,good
50,29,1,0,0,0,2333,0,0,1,0,0,24,0,0,1,0,0,1,0,1,0,1,0,4,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,good
51,30,1,0,0,0,5965,0,0,1,0,0,27,0,0,0,1,0,2,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,good
52,25,0,0,0,1,1262,0,0,0,1,0,12,1,0,0,0,0,1,0,1,0,1,0,3,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,good
53,31,0,0,0,1,3378,0,0,0,1,0,18,1,0,0,0,0,1,0,1,0,1,0,2,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,good
54,57,1,0,0,0,2225,0,0,1,0,0,36,0,0,0,1,0,2,0,1,1,0,0,4,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,bad
55,26,0,0,0,1,783,1,0,0,0,0,6,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,2,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,good
56,52,1,0,0,0,6468,0,0,0,1,0,12,0,0,0,0,1,1,0,1,0,1,0,2,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,bad
57,31,0,0,0,1,9566,0,1,0,0,0,36,1,0,0,0,0,2,0,1,0,1,0,2,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,good
58,23,0,0,1,0,1961,0,0,0,1,0,18,0,0,0,1,0,1,0,1,0,1,0,3,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,good
59,23,0,1,0,0,6229,0,1,0,0,0,36,0,0,1,0,0,2,0,1,0,0,1,4,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,bad
60,27,1,0,0,0,1391,0,0,0,1,0,9,1,0,0,0,0,1,0,1,0,1,0,2,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,good
61,50,1,0,0,0,1537,0,1,0,0,0,15,0,0,0,1,0,2,0,1,0,1,0,4,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,good
62,61,1,0,0,0,1953,0,0,0,0,1,36,0,0,0,1,0,1,0,1,1,0,0,4,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,bad
63,25,1,0,0,0,14421,0,0,0,0,1,48,1,0,0,0,0,1,0,1,0,1,0,2,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,bad
64,26,0,0,0,1,3181,0,0,0,1,0,24,0,0,1,0,0,1,0,1,0,1,0,4,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,good
65,48,0,0,0,1,5190,0,0,0,1,0,27,0,0,0,1,0,4,0,1,0,1,0,4,0,1,0,0,2,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,good
66,29,0,0,0,1,2171,0,0,0,1,0,12,0,0,1,0,0,1,0,1,0,1,0,2,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,good
67,22,1,0,0,0,1007,0,0,0,1,0,12,1,0,0,0,0,1,0,1,0,1,0,4,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,good
68,37,0,0,0,1,1819,0,0,0,1,0,36,1,0,0,0,0,1,0,1,1,0,0,4,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,bad
69,25,0,0,0,1,2394,0,0,0,1,0,36,1,0,0,0,0,1,0,1,0,1,0,4,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,good
70,30,0,0,0,1,8133,0,0,0,1,0,36,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,good
71,46,0,0,0,1,730,0,1,0,0,0,7,0,0,0,1,0,2,0,1,0,0,1,4,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,good
72,51,0,1,0,0,1164,0,1,0,0,0,8,0,0,0,1,0,2,0,1,1,0,0,3,1,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,good
73,41,1,0,0,0,5954,0,1,0,0,0,42,0,1,0,0,0,2,0,1,0,1,0,2,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,good
74,40,0,1,0,0,1977,0,0,0,1,0,36,0,0,0,1,0,1,0,1,0,1,0,4,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,bad
75,66,0,1,0,0,1526,0,1,0,0,0,12,0,0,0,1,0,2,0,1,1,0,0,4,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,good
76,34,0,1,0,0,3965,0,0,0,1,0,42,0,0,1,0,0,1,0,1,0,1,0,4,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,bad
77,51,1,0,0,0,4771,0,0,1,0,0,11,0,1,0,0,0,1,0,1,0,1,0,2,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,good
78,39,0,0,0,1,9436,0,0,0,0,1,54,1,0,0,0,0,1,0,1,0,1,0,2,0,0,0,1,2,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,good
79,22,1,0,0,0,3832,0,0,0,1,0,30,0,0,1,0,0,1,0,1,0,1,0,2,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,good
80,44,0,0,0,1,5943,0,0,0,1,0,24,0,0,1,0,0,2,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,bad
81,47,0,0,0,1,1213,0,0,0,1,0,15,0,0,0,1,0,1,0,1,0,1,0,4,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,good
82,24,0,0,0,1,1568,0,0,0,1,0,18,1,0,0,0,0,1,0,1,0,0,1,3,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,good
83,58,0,1,0,0,1755,0,0,0,1,0,24,0,0,0,1,0,1,0,1,0,1,0,4,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,good
84,52,0,1,0,0,2315,0,0,0,1,0,10,0,0,0,1,0,1,0,1,0,1,0,3,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,good
85,29,0,0,0,1,1412,0,1,0,0,0,12,1,0,0,0,0,2,0,1,0,1,0,4,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,good
86,27,1,0,0,0,1295,0,1,0,0,0,18,0,0,1,0,0,2,0,1,0,1,0,4,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,good
87,47,1,0,0,0,12612,0,0,0,1,0,36,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,2,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,bad
88,30,0,1,0,0,2249,0,0,0,1,0,18,0,1,0,0,0,1,0,1,0,1,0,4,1,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,good
89,28,0,1,0,0,1108,0,0,0,0,1,12,0,1,0,0,0,2,0,1,0,1,0,4,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,bad
90,56,0,0,0,1,618,0,1,0,0,0,12,0,0,0,1,0,1,0,1,0,1,0,4,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,good
91,54,0,1,0,0,1409,0,1,0,0,0,12,0,0,0,1,0,1,0,1,0,1,0,4,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,good
92,33,0,0,0,1,797,0,1,0,0,0,12,0,0,0,1,0,1,0,1,0,1,0,4,0,0,0,1,2,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,bad
93,20,0,0,1,0,3617,0,1,0,0,0,24,0,0,0,1,0,2,0,1,0,0,1,4,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,good
94,54,1,0,0,0,1318,0,0,0,1,0,12,0,0,0,1,0,1,0,1,0,1,0,4,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,good
95,58,1,0,0,0,15945,0,0,0,0,1,54,0,0,1,0,0,1,0,1,0,0,1,3,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,bad
96,61,0,0,0,1,2012,0,1,0,0,0,12,0,1,0,0,0,1,0,1,0,1,0,4,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,good
97,34,1,0,0,0,2622,0,0,0,1,0,18,1,0,0,0,0,1,0,1,0,1,0,4,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,good
98,36,1,0,0,0,2337,0,1,0,0,0,36,0,0,0,1,0,1,0,1,0,1,0,4,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,good
99,36,1,0,0,0,7057,0,0,1,0,0,20,0,1,0,0,0,2,0,1,0,0,1,3,1,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,good
100,41,0,0,0,1,1469,0,0,0,1,0,24,0,0,0,1,0,1,0,1,0,0,1,4,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,good
